iter	Passed	Remaining
0	137	137619
1	139	69547
2	140	46783
3	142	35411
4	143	28628
5	145	24044
6	146	20790
7	147	18350
8	149	16454
9	151	14949
10	152	13714
11	153	12674
12	155	11797
13	156	11050
14	158	10402
15	159	9833
16	161	9327
17	162	8884
18	164	8486
19	165	8121
20	167	7792
21	168	7492
22	169	7218
23	171	6964
24	172	6730
25	174	6522
26	175	6324
27	176	6139
28	178	5969
29	179	5807
30	181	5661
31	182	5518
32	183	5389
33	185	5268
34	186	5154
35	188	5048
36	190	4945
37	191	4849
38	192	4754
39	194	4668
40	196	4588
41	197	4508
42	199	4430
43	200	4355
44	201	4285
45	203	4214
46	204	4147
47	205	4085
48	207	4024
49	208	3966
50	210	3912
51	211	3863
52	213	3812
53	214	3762
54	216	3715
55	217	3670
56	219	3625
57	220	3587
58	222	3545
59	223	3504
60	225	3466
61	226	3427
62	227	3390
63	229	3353
64	230	3319
65	232	3289
66	233	3258
67	234	3218
68	236	3188
69	237	3158
70	239	3133
71	240	3104
72	242	3074
73	243	3046
74	244	3020
75	246	2993
76	247	2970
77	249	2943
78	250	2918
79	251	2894
80	253	2872
81	254	2853
82	256	2832
83	257	2810
84	258	2786
85	260	2769
86	261	2746
87	263	2726
88	264	2708
89	265	2688
90	267	2671
91	268	2653
92	270	2636
93	271	2619
94	273	2602
95	274	2585
96	275	2569
97	277	2553
98	278	2538
99	280	2522
100	281	2507
101	282	2487
102	283	2472
103	285	2458
104	286	2444
105	288	2430
106	289	2416
107	290	2401
108	292	2388
109	293	2375
110	294	2361
111	296	2351
112	297	2338
113	299	2326
114	300	2314
115	302	2301
116	303	2290
117	304	2278
118	305	2265
119	307	2253
120	308	2243
121	310	2234
122	311	2219
123	312	2209
124	314	2199
125	315	2189
126	317	2179
127	318	2166
128	319	2160
129	321	2151
130	322	2142
131	324	2134
132	326	2125
133	327	2116
134	329	2108
135	330	2098
136	332	2091
137	333	2081
138	334	2073
139	336	2064
140	337	2056
141	338	2047
142	340	2039
143	341	2032
144	343	2024
145	344	2017
146	346	2010
147	347	2002
148	349	1995
149	350	1987
150	352	1979
151	353	1972
152	355	1965
153	356	1958
154	357	1951
155	359	1944
156	360	1937
157	362	1930
158	363	1923
159	365	1916
160	366	1910
161	367	1903
162	369	1897
163	370	1891
164	372	1884
165	374	1879
166	375	1872
167	376	1866
168	378	1860
169	379	1853
170	380	1846
171	382	1839
172	383	1833
173	384	1827
174	386	1822
175	388	1817
176	389	1812
177	391	1805
178	392	1801
179	394	1795
180	394	1786
181	396	1780
182	397	1775
183	398	1769
184	400	1763
185	401	1758
186	403	1754
187	404	1748
188	406	1743
189	407	1738
190	409	1733
191	410	1727
192	412	1723
193	413	1718
194	415	1713
195	416	1708
196	417	1703
197	419	1698
198	420	1694
199	422	1688
200	423	1684
201	425	1679
202	426	1675
203	428	1670
204	429	1666
205	431	1662
206	432	1657
207	434	1653
208	436	1650
209	437	1645
210	438	1640
211	440	1635
212	441	1631
213	443	1627
214	444	1623
215	446	1619
216	447	1614
217	449	1611
218	450	1607
219	452	1603
220	453	1598
221	455	1594
222	456	1590
223	458	1586
224	459	1582
225	460	1577
226	462	1573
227	463	1569
228	464	1564
229	466	1561
230	467	1557
231	469	1553
232	470	1549
233	472	1546
234	473	1542
235	475	1538
236	476	1535
237	478	1531
238	479	1527
239	481	1523
240	482	1519
241	484	1516
242	485	1513
243	487	1510
244	488	1506
245	490	1504
246	492	1501
247	494	1498
248	495	1495
249	497	1493
250	499	1490
251	500	1486
252	502	1482
253	503	1480
